Date,Gold U$/Troy Ounce,Silver cts/Troy OZ,Palladium U$/Troy Ounce,Platinum U$/Troy Ounce
8/2/1993,403.25,535,143.15,416.5
8/3/1993,403.65,535,143.75,417.04
8/4/1993,401.5,532,144.25,419
8/5/1993,388.25,505.5,140.75,401.75
8/6/1993,376.5,460,138.75,387.75
8/9/1993,382.25,457,139.75,393.25
8/10/1993,379.2,465.5,140.5,393
8/11/1993,375.25,465,140.25,392.25
8/12/1993,373.5,458,140.25,389.6
8/13/1993,368.75,457,137.75,385
8/16/1993,373.75,475.5,139.25,387.75
8/17/1993,372.7,471,138.25,387.25
8/18/1993,373.2,469,138.25,388
8/19/1993,373,470,138.5,393.5
8/20/1993,373.25,476.5,136.75,385.6
8/23/1993,374,480,136,387.85
8/24/1993,373.45,476,134.25,387.5
8/25/1993,371.25,469,128.75,386.5
8/26/1993,367.5,466.5,122.55,383.75
8/27/1993,369,467.5,120,377.5
8/30/1993,369,483.5,120,377.5
8/31/1993,371.35,483.5,125.75,384
9/1/1993,369.75,480,123.5,380.5
9/2/1993,364.5,448,122.2,379.75
9/3/1993,364.25,458,122,371
9/6/1993,364.35,458,122.5,373
9/7/1993,354.25,433.5,119.75,366.75
9/8/1993,351.75,427,117,357.25
9/9/1993,354.15,427,117.85,357.65
9/10/1993,349.85,409,120.25,358.25
9/13/1993,344.25,409,117.25,352.75
9/14/1993,345.25,409,115.75,351.75
9/15/1993,347.6,400.5,117.5,353.75
9/16/1993,352.25,400.5,119.75,360.9
9/17/1993,352,405.5,121,360.25
9/20/1993,353.8,408.5,120.5,361.5
9/21/1993,353.3,409,124.5,360.25
9/22/1993,354.25,406.5,123,361
9/23/1993,357.25,413,124.25,362
9/24/1993,357.25,410,125.25,362.75
9/27/1993,354.25,404.5,125,362.6
9/28/1993,356.2,407.5,124,360.5
9/29/1993,352.2,407.5,124.75,360.75
9/30/1993,355.25,407.5,125.25,359.25
10/1/1993,355.2,406,125.15,361.1
