Date,AUSTRALIA,UK,CHINA,USA,EMU U$,EM U$,EUROPEAN UNION U$,EUROPE U$,NORTH AMERICA U$,WORLD U$,EM LATIN AMERICA U$
8/2/1993,382.225,892.539,72.622,420.799,62.789,364.228,142.319,526.871,455.338,579.228,661.347
8/3/1993,383.022,892.746,72.296,420.405,63.84,364.153,144.571,535.549,454.904,582.359,655.629
8/4/1993,383.813,892.432,72.721,419.717,64.62,365.604,145.66,539.273,454.363,584.274,656.283
8/5/1993,384.733,893.754,71.454,419.268,64.257,366.336,144.927,537.04,453.526,582.998,656.727
8/6/1993,381.284,902.076,73.148,419.892,64.868,365.568,146.196,541.469,454.172,583.456,656.12
8/9/1993,380.857,906.498,74.603,421.766,65.178,364.43,146.98,544.566,456.368,585.403,654.201
8/10/1993,383.759,903.579,76.796,420.692,64.609,364.861,145.369,538.132,455.432,583.695,654.195
8/11/1993,384.07,914.403,77.545,421.643,64.773,367.264,145.989,540.076,456.165,588.079,660.489
8/12/1993,387.419,916.744,81.54,420.282,65.031,367.801,146.231,541.992,454.547,589.117,661.706
8/13/1993,384.312,917.143,80.904,421.213,64.935,369.989,145.946,541.266,455.484,590.363,671.489
8/16/1993,387.213,916.546,80.973,423.115,65.531,372.39,146.945,545.001,457.49,595.568,677.968
8/17/1993,388.751,920.817,79.643,424.571,66.311,376.831,149.399,553.756,458.98,596.857,691.136
8/18/1993,389.261,934.837,79.499,427.523,67.274,378.322,151.648,562.303,462.013,600.588,689.163
8/19/1993,396.371,932.293,79.415,428.072,67.677,383.284,152.831,566.336,462.551,602,698.97
8/20/1993,396.71,929.699,80.029,427.764,67.465,386.946,152.176,563.647,462.421,594.549,710.728
8/23/1993,398.184,924.531,80.764,426.753,66.924,388.298,151.013,559.457,461.378,593.615,714.047
8/24/1993,396.7,926.571,80.668,430.755,67.367,388.721,151.16,559.875,465.651,594.761,712.995
8/25/1993,395.356,934.214,80.943,430.638,67.629,388.789,151.358,560.343,465.661,593.172,710.587
8/26/1993,400.259,934.186,82.372,431.693,68.186,394.481,152.623,564.067,466.672,596.206,724.364
8/27/1993,403.069,940.488,84.417,431.098,68.429,395.011,153.925,568.796,465.954,599.883,723.321
8/30/1993,404.881,940.488,84.212,431.895,68.731,394.449,153.619,568.179,466.851,601.547,721.533
