Date,1 Carat Commercial Index,0.5 Carat Commercial Index,0.3 Carat Commercial Index
2/08/2004,112.2,124.3,124
3/08/2004,112.2,124.3,124
4/08/2004,112.2,124.3,124
5/08/2004,112.2,124.3,124
6/08/2004,111.7,122.1,124
9/08/2004,111.7,122.1,124
10/08/2004,111.7,122.1,124
11/08/2004,111.7,122.1,124
12/08/2004,111.7,122.1,124
13/08/2004,111,124.2,125
16/08/2004,111,124.2,125
17/08/2004,111,124.2,125
18/08/2004,111,124.2,125
19/08/2004,111,124.2,125
20/08/2004,110.6,120.7,117.3
23/08/2004,110.6,120.7,117.3
24/08/2004,110.6,120.7,117.3
25/08/2004,110.6,120.7,117.3
26/08/2004,110.6,120.7,117.3
27/08/2004,116.7,119.6,125.8
30/08/2004,116.7,119.6,125.8
31/08/2004,116.7,119.6,125.8
1/09/2004,116.7,119.6,125.8
2/09/2004,116.7,119.6,125.8
3/09/2004,114,111.6,112.9
6/09/2004,114,111.6,112.9
7/09/2004,114,111.6,112.9
8/09/2004,114,111.6,112.9
9/09/2004,114,111.6,112.9
10/09/2004,115.5,124.1,124.7
13/09/2004,115.5,124.1,124.7
14/09/2004,115.5,124.1,124.7
15/09/2004,115.5,124.1,124.7
16/09/2004,115.5,124.1,124.7
17/09/2004,115.8,129.1,131.9
20/09/2004,115.8,129.1,131.9
21/09/2004,115.8,129.1,131.9
22/09/2004,115.8,129.1,131.9
23/09/2004,115.8,129.1,131.9
24/09/2004,118.2,115.9,114.7
27/09/2004,118.2,115.9,114.7
28/09/2004,118.2,115.9,114.7
29/09/2004,118.2,115.9,114.7
30/09/2004,118.2,115.9,114.7
1/10/2004,115.5,116.8,125
4/10/2004,115.5,116.8,125
5/10/2004,115.5,116.8,125
6/10/2004,115.5,116.8,125
7/10/2004,115.5,116.8,125
8/10/2004,116.3,125.8,121
11/10/2004,116.3,125.8,121
12/10/2004,116.3,125.8,121
13/10/2004,116.3,125.8,121
14/10/2004,116.3,125.8,121
15/10/2004,114.9,125.3,128.8
18/10/2004,114.9,125.3,128.8
19/10/2004,114.9,125.3,128.8
20/10/2004,114.9,125.3,128.8
21/10/2004,114.9,125.3,128.8
22/10/2004,115.1,119.6,119.2
25/10/2004,115.1,119.6,119.2
26/10/2004,115.1,119.6,119.2
27/10/2004,115.1,119.6,119.2
28/10/2004,115.1,119.6,119.2
29/10/2004,112.5,131.3,133.9
1/11/2004,112.5,131.3,133.9
2/11/2004,112.5,131.3,133.9
3/11/2004,112.5,131.3,133.9
4/11/2004,112.5,131.3,133.9
5/11/2004,110.7,128,137.8
8/11/2004,110.7,128,137.8
9/11/2004,110.7,128,137.8
10/11/2004,110.7,128,137.8
11/11/2004,110.7,128,137.8
12/11/2004,112.1,132.2,133.1
15/11/2004,112.1,132.2,133.1
16/11/2004,112.1,132.2,133.1
17/11/2004,112.1,132.2,133.1
18/11/2004,112.1,132.2,133.1
19/11/2004,120.6,123.2,129.4
22/11/2004,120.6,123.2,129.4
23/11/2004,120.6,123.2,129.4
24/11/2004,120.6,123.2,129.4
25/11/2004,120.6,123.2,129.4
26/11/2004,113.7,126.2,129.6
29/11/2004,113.7,126.2,129.6
30/11/2004,113.7,126.2,129.6
1/12/2004,113.7,126.2,129.6
2/12/2004,113.7,126.2,129.6
3/12/2004,114.3,113.7,135.1
6/12/2004,114.3,113.7,135.1
7/12/2004,114.3,113.7,135.1
8/12/2004,114.3,113.7,135.1
9/12/2004,114.3,113.7,135.1
10/12/2004,113.3,116.1,136.8
13/12/2004,113.3,116.1,136.8
14/12/2004,113.3,116.1,136.8
15/12/2004,113.3,116.1,136.8
16/12/2004,113.3,116.1,136.8
17/12/2004,117.6,120,134.8
20/12/2004,117.6,120,134.8
21/12/2004,117.6,120,134.8
22/12/2004,117.6,120,134.8
23/12/2004,117.6,120,134.8
24/12/2004,116.7,117.9,134.9
27/12/2004,116.7,117.9,134.9
28/12/2004,116.7,117.9,134.9
29/12/2004,116.7,117.9,134.9
30/12/2004,116.7,117.9,134.9
31/12/2004,117.3,118.1,141.6
3/01/2005,117.3,118.1,141.6
4/01/2005,117.3,118.1,141.6
5/01/2005,117.3,118.1,141.6
6/01/2005,117.3,118.1,141.6
7/01/2005,117,115.7,141.6
10/01/2005,117,115.7,141.6
11/01/2005,117,115.7,141.6
12/01/2005,117,115.7,141.6
13/01/2005,117,115.7,141.6
14/01/2005,112,124.4,129
17/01/2005,112,124.4,129
18/01/2005,112,124.4,129
19/01/2005,112,124.4,129
20/01/2005,112,124.4,129
21/01/2005,110.8,117.5,124.7
24/01/2005,110.8,117.5,124.7
25/01/2005,110.8,117.5,124.7
26/01/2005,110.8,117.5,124.7
27/01/2005,110.8,117.5,124.7
28/01/2005,111.7,113.8,121.5
31/01/2005,111.7,113.8,121.5
1/02/2005,111.7,113.8,121.5
2/02/2005,111.7,113.8,121.5
3/02/2005,111.7,113.8,121.5
4/02/2005,113,129.7,131.2
7/02/2005,113,129.7,131.2
8/02/2005,113,129.7,131.2
9/02/2005,113,129.7,131.2
10/02/2005,113,129.7,131.2
11/02/2005,115.7,121.1,117.6
14/02/2005,115.7,121.1,117.6
15/02/2005,115.7,121.1,117.6
16/02/2005,115.7,121.1,117.6
17/02/2005,115.7,121.1,117.6
18/02/2005,115.6,120.1,127.4
21/02/2005,115.6,120.1,127.4
22/02/2005,115.6,120.1,127.4
23/02/2005,115.6,120.1,127.4
24/02/2005,115.6,120.1,127.4
25/02/2005,117.7,114.7,124.6
28/02/2005,117.7,114.7,124.6
1/03/2005,117.7,114.7,124.6
2/03/2005,117.7,114.7,124.6
3/03/2005,117.7,114.7,124.6
4/03/2005,114.4,113.3,119.5
7/03/2005,114.4,113.3,119.5
8/03/2005,114.4,113.3,119.5
9/03/2005,114.4,113.3,119.5
10/03/2005,114.4,113.3,119.5
11/03/2005,116.8,128.4,123.7
14/03/2005,116.8,128.4,123.7
15/03/2005,116.8,128.4,123.7
16/03/2005,116.8,128.4,123.7
17/03/2005,116.8,128.4,123.7
18/03/2005,116.2,124.2,122
