Date,Polished Prices Diamond Index
2/08/2004,114.5
3/08/2004,114.5
4/08/2004,114.5
5/08/2004,114.5
6/08/2004,114.4
9/08/2004,114.4
10/08/2004,114.4
11/08/2004,114.4
12/08/2004,114.4
13/08/2004,114.6
16/08/2004,114.6
17/08/2004,114.6
18/08/2004,114.6
19/08/2004,114.6
20/08/2004,112.8
23/08/2004,112.8
24/08/2004,112.8
25/08/2004,112.8
26/08/2004,112.8
27/08/2004,117.1
30/08/2004,117.1
31/08/2004,117.1
1/09/2004,117.1
2/09/2004,117.1
3/09/2004,112.9
6/09/2004,112.9
7/09/2004,112.9
8/09/2004,112.9
9/09/2004,112.9
10/09/2004,116.9
13/09/2004,116.9
14/09/2004,116.9
15/09/2004,116.9
16/09/2004,116.9
17/09/2004,120.5
20/09/2004,120.5
21/09/2004,120.5
22/09/2004,120.5
23/09/2004,120.5
24/09/2004,115
27/09/2004,115
28/09/2004,115
29/09/2004,115
30/09/2004,115
1/10/2004,116.5
4/10/2004,116.5
5/10/2004,116.5
6/10/2004,116.5
7/10/2004,116.5
8/10/2004,117.6
11/10/2004,117.6
12/10/2004,117.6
13/10/2004,117.6
14/10/2004,117.6
15/10/2004,118.3
18/10/2004,118.3
19/10/2004,118.3
20/10/2004,118.3
21/10/2004,118.3
22/10/2004,115.9
25/10/2004,115.9
26/10/2004,115.9
27/10/2004,115.9
28/10/2004,115.9
29/10/2004,120.6
1/11/2004,120.6
2/11/2004,120.6
3/11/2004,120.6
4/11/2004,120.6
5/11/2004,120.6
8/11/2004,120.6
9/11/2004,120.6
10/11/2004,120.6
11/11/2004,120.6
12/11/2004,121.5
15/11/2004,121.5
16/11/2004,121.5
17/11/2004,121.5
18/11/2004,121.5
19/11/2004,123
22/11/2004,123
23/11/2004,123
24/11/2004,123
25/11/2004,123
26/11/2004,120.7
29/11/2004,120.7
30/11/2004,120.7
1/12/2004,120.7
2/12/2004,120.7
3/12/2004,119.4
6/12/2004,119.4
7/12/2004,119.4
8/12/2004,119.4
9/12/2004,119.4
10/12/2004,119.4
13/12/2004,119.4
14/12/2004,119.4
15/12/2004,119.4
16/12/2004,119.4
17/12/2004,120.2
20/12/2004,120.2
21/12/2004,120.2
22/12/2004,120.2
23/12/2004,120.2
24/12/2004,119.4
27/12/2004,119.4
28/12/2004,119.4
29/12/2004,119.4
30/12/2004,119.4
31/12/2004,120
3/01/2005,120
4/01/2005,120
5/01/2005,120
6/01/2005,120
7/01/2005,119.6
10/01/2005,119.6
11/01/2005,119.6
12/01/2005,119.6
13/01/2005,119.6
14/01/2005,117.9
17/01/2005,117.9
18/01/2005,117.9
19/01/2005,117.9
20/01/2005,117.9
21/01/2005,116.4
24/01/2005,116.4
25/01/2005,116.4
26/01/2005,116.4
27/01/2005,116.4
28/01/2005,115.8
31/01/2005,115.8
1/02/2005,115.8
2/02/2005,115.8
3/02/2005,115.8
4/02/2005,119.7
7/02/2005,119.7
8/02/2005,119.7
9/02/2005,119.7
10/02/2005,119.7
11/02/2005,117.5
14/02/2005,117.5
15/02/2005,117.5
16/02/2005,117.5
17/02/2005,117.5
18/02/2005,118.3
21/02/2005,118.3
22/02/2005,118.3
23/02/2005,118.3
24/02/2005,118.3
25/02/2005,119.4
28/02/2005,119.4
1/03/2005,119.4
2/03/2005,119.4
3/03/2005,119.4
4/03/2005,116.8
7/03/2005,116.8
8/03/2005,116.8
9/03/2005,116.8
10/03/2005,116.8
11/03/2005,120.2
14/03/2005,120.2
15/03/2005,120.2
16/03/2005,120.2
17/03/2005,120.2
18/03/2005,118.9
21/03/2005,118.9
22/03/2005,118.9
23/03/2005,118.9
24/03/2005,118.9
25/03/2005,118
28/03/2005,118
29/03/2005,118
30/03/2005,118
31/03/2005,118
1/04/2005,118.4
4/04/2005,118.4
5/04/2005,118.4
6/04/2005,118.4
7/04/2005,118.4
8/04/2005,122.3
11/04/2005,122.3
12/04/2005,122.3
13/04/2005,122.3
14/04/2005,122.3
15/04/2005,120.5
18/04/2005,120.5
19/04/2005,120.5
20/04/2005,120.5
21/04/2005,120.5
22/04/2005,122.6
25/04/2005,122.6
26/04/2005,122.6
27/04/2005,122.6
28/04/2005,122.6
29/04/2005,122.2
2/05/2005,122.2
3/05/2005,122.2
4/05/2005,122.2
5/05/2005,122.2
6/05/2005,119.3
9/05/2005,119.3
10/05/2005,119.3
11/05/2005,119.3
12/05/2005,119.3
13/05/2005,126.1
16/05/2005,126.1
17/05/2005,126.1
18/05/2005,126.1
19/05/2005,126.1
20/05/2005,123.1
23/05/2005,123.1
24/05/2005,123.1
25/05/2005,123.1
26/05/2005,123.1
27/05/2005,123.5
