Date,Price
2/08/1993,403.25
3/08/1993,403.65
4/08/1993,401.5
5/08/1993,388.25
6/08/1993,376.5
9/08/1993,382.25
10/08/1993,379.2
11/08/1993,375.25
12/08/1993,373.5
13/08/1993,368.75
16/08/1993,373.75
17/08/1993,372.7
18/08/1993,373.2
19/08/1993,373
20/08/1993,373.25
23/08/1993,374
24/08/1993,373.45
25/08/1993,371.25
26/08/1993,367.5
27/08/1993,369
30/08/1993,369
31/08/1993,371.35
1/09/1993,369.75
2/09/1993,364.5
3/09/1993,364.25
6/09/1993,364.35
7/09/1993,354.25
8/09/1993,351.75
9/09/1993,354.15
10/09/1993,349.85
13/09/1993,344.25
14/09/1993,345.25
15/09/1993,347.6
16/09/1993,352.25
17/09/1993,352
20/09/1993,353.8
21/09/1993,353.3
22/09/1993,354.25
23/09/1993,357.25
24/09/1993,357.25
27/09/1993,354.25
28/09/1993,356.2
29/09/1993,352.2
30/09/1993,355.25
1/10/1993,355.2
4/10/1993,352.75
5/10/1993,353.25
6/10/1993,355.75
7/10/1993,357.7
8/10/1993,357.25
11/10/1993,360.25
12/10/1993,361.15
13/10/1993,366.75
14/10/1993,365
15/10/1993,364.75
18/10/1993,367.5
19/10/1993,367
20/10/1993,372
21/10/1993,373.35
22/10/1993,368
25/10/1993,371.75
26/10/1993,367.25
27/10/1993,371.75
28/10/1993,369.75
29/10/1993,368.8
1/11/1993,362.75
2/11/1993,361
3/11/1993,364.45
4/11/1993,372.5
5/11/1993,376.75
8/11/1993,376.25
9/11/1993,375.6
10/11/1993,376.75
11/11/1993,376.25
12/11/1993,375.2
15/11/1993,374.25
16/11/1993,375
17/11/1993,372
18/11/1993,377.25
19/11/1993,378.6
22/11/1993,379
23/11/1993,376.25
24/11/1993,376
25/11/1993,377.6
26/11/1993,377
29/11/1993,371.25
30/11/1993,370
1/12/1993,375.45
2/12/1993,374.95
3/12/1993,376
6/12/1993,376.6
7/12/1993,376.3
8/12/1993,383.25
9/12/1993,382.8
10/12/1993,382.75
13/12/1993,386.4
14/12/1993,387
15/12/1993,385
16/12/1993,386.3
17/12/1993,386.2
20/12/1993,389.6
21/12/1993,388.4
22/12/1993,386.2
23/12/1993,385.5
24/12/1993,386.75
27/12/1993,386.75
28/12/1993,386.75
29/12/1993,386.7
