Name,NIKKEI 225 STOCK AVERAGE - PRICE INDEX
2/03/1979,5972.94
5/03/1979,6014.23
6/03/1979,5992.84
7/03/1979,6017.28
8/03/1979,6026.01
9/03/1979,6042.94
12/03/1979,6062.58
13/03/1979,6058.3
14/03/1979,6048.01
15/03/1979,6024.53
16/03/1979,6025.75
19/03/1979,6029.85
20/03/1979,6053.77
21/03/1979,6053.77
22/03/1979,6074.71
23/03/1979,6079.86
26/03/1979,6101.6
27/03/1979,6109.02
28/03/1979,6108.3
29/03/1979,6136.02
30/03/1979,6133.97
2/04/1979,6088.99
3/04/1979,6035.07
4/04/1979,6039.18
5/04/1979,6049
6/04/1979,6049.99
9/04/1979,6010.98
10/04/1979,5925.87
11/04/1979,6043.03
12/04/1979,6071.01
13/04/1979,6115.67
16/04/1979,6110.02
17/04/1979,6078.62
18/04/1979,6058.63
19/04/1979,6064.87
20/04/1979,6102.97
23/04/1979,6120.52
24/04/1979,6139.17
25/04/1979,6178.78
26/04/1979,6193.96
27/04/1979,6223.14
30/04/1979,6223.14
1/05/1979,6236.92
2/05/1979,6277.6
3/05/1979,6277.6
4/05/1979,6286.1
7/05/1979,6253.56
8/05/1979,6236.82
9/05/1979,6248.88
10/05/1979,6264.04
11/05/1979,6274.12
14/05/1979,6296.92
15/05/1979,6308.88
16/05/1979,6341.26
17/05/1979,6287
18/05/1979,6315.48
21/05/1979,6306.72
22/05/1979,6263.58
23/05/1979,6233.53
24/05/1979,6300.45
25/05/1979,6313.82
28/05/1979,6332.88
29/05/1979,6293.04
30/05/1979,6307.45
31/05/1979,6252.59
1/06/1979,6176.93
4/06/1979,6198.71
5/06/1979,6123.96
6/06/1979,6175.65
7/06/1979,6186.26
8/06/1979,6176.56
11/06/1979,6065.19
12/06/1979,6097.16
13/06/1979,6120.31
14/06/1979,6100.54
15/06/1979,6143.94
18/06/1979,6188.21
19/06/1979,6186.45
20/06/1979,6200.75
21/06/1979,6248.47
22/06/1979,6247.54
25/06/1979,6239.84
26/06/1979,6240.59
27/06/1979,6258.04
28/06/1979,6250.04
29/06/1979,6247.26
2/07/1979,6283.14
3/07/1979,6303.08
4/07/1979,6310.03
5/07/1979,6292.42
6/07/1979,6280.11
9/07/1979,6258.71
10/07/1979,6177.21
11/07/1979,6207.57
12/07/1979,6154.81
13/07/1979,6109.3
16/07/1979,6188.73
17/07/1979,6181.66
18/07/1979,6181.3
19/07/1979,6180.3
20/07/1979,6179.9
23/07/1979,6180.41
24/07/1979,6210.91
25/07/1979,6250.31
26/07/1979,6243.94
27/07/1979,6264.66
30/07/1979,6275.31
31/07/1979,6313.77
1/08/1979,6322.68
2/08/1979,6329.59
3/08/1979,6355.72
6/08/1979,6392.18
7/08/1979,6364.73
8/08/1979,6402.67
9/08/1979,6392.16
10/08/1979,6394.99
13/08/1979,6394.63
14/08/1979,6395.22
15/08/1979,6424.15
16/08/1979,6443.56
17/08/1979,6452.56
20/08/1979,6448.72
