Date,Price
2/08/1993,143.15
3/08/1993,143.75
4/08/1993,144.25
5/08/1993,140.75
6/08/1993,138.75
9/08/1993,139.75
10/08/1993,140.5
11/08/1993,140.25
12/08/1993,140.25
13/08/1993,137.75
16/08/1993,139.25
17/08/1993,138.25
18/08/1993,138.25
19/08/1993,138.5
20/08/1993,136.75
23/08/1993,136
24/08/1993,134.25
25/08/1993,128.75
26/08/1993,122.55
27/08/1993,120
30/08/1993,120
31/08/1993,125.75
1/09/1993,123.5
2/09/1993,122.2
3/09/1993,122
6/09/1993,122.5
7/09/1993,119.75
8/09/1993,117
9/09/1993,117.85
10/09/1993,120.25
13/09/1993,117.25
14/09/1993,115.75
15/09/1993,117.5
16/09/1993,119.75
17/09/1993,121
20/09/1993,120.5
21/09/1993,124.5
22/09/1993,123
23/09/1993,124.25
24/09/1993,125.25
27/09/1993,125
28/09/1993,124
29/09/1993,124.75
30/09/1993,125.25
1/10/1993,125.15
4/10/1993,125.6
5/10/1993,123.9
6/10/1993,124.5
7/10/1993,126.85
8/10/1993,126.9
11/10/1993,129.5
12/10/1993,130.75
13/10/1993,133
14/10/1993,134
15/10/1993,132.75
18/10/1993,130.5
19/10/1993,132.75
20/10/1993,133.65
21/10/1993,131.6
22/10/1993,130
25/10/1993,131.1
26/10/1993,130
27/10/1993,130.6
28/10/1993,129.5
29/10/1993,130
1/11/1993,127.75
2/11/1993,128.5
3/11/1993,127.4
4/11/1993,130.4
5/11/1993,130.5
8/11/1993,128.75
9/11/1993,128.9
10/11/1993,128.65
11/11/1993,129
12/11/1993,129.25
15/11/1993,129.5
16/11/1993,130.35
17/11/1993,129.25
18/11/1993,129.5
19/11/1993,129
22/11/1993,128
23/11/1993,126.25
24/11/1993,125.1
25/11/1993,126
26/11/1993,125.5
29/11/1993,122.75
30/11/1993,123.5
1/12/1993,121.4
2/12/1993,123.25
3/12/1993,123
6/12/1993,124.25
7/12/1993,124.9
8/12/1993,127.75
9/12/1993,126.75
10/12/1993,126.25
13/12/1993,127.25
14/12/1993,126.25
15/12/1993,124.65
16/12/1993,125
17/12/1993,125.25
20/12/1993,125.5
21/12/1993,124
22/12/1993,123.25
23/12/1993,124.1
24/12/1993,123.85
27/12/1993,123.85
28/12/1993,123.85
29/12/1993,122.6
30/12/1993,123.4
31/12/1993,123.25
3/01/1994,123.25
4/01/1994,125
5/01/1994,126.75
6/01/1994,124.75
7/01/1994,124.75
10/01/1994,123.65
11/01/1994,123.25
12/01/1994,123.75
13/01/1994,123.5
14/01/1994,123.75
17/01/1994,124.9
18/01/1994,124.9
19/01/1994,124.9
20/01/1994,124.25
21/01/1994,123.6
24/01/1994,123.5
25/01/1994,123.75
26/01/1994,124
27/01/1994,124.75
28/01/1994,123.75
31/01/1994,124.5
1/02/1994,125.1
2/02/1994,126.75
3/02/1994,126.85
4/02/1994,128.1
7/02/1994,128
8/02/1994,130.5
9/02/1994,130.5
10/02/1994,132.5
11/02/1994,132.75
14/02/1994,133.25
15/02/1994,135.25
16/02/1994,136
17/02/1994,135
18/02/1994,133.9
21/02/1994,133.25
22/02/1994,132.75
23/02/1994,131.75
24/02/1994,132.25
25/02/1994,136.75
28/02/1994,135.75
1/03/1994,135.25
2/03/1994,135.1
3/03/1994,129.25
4/03/1994,128.75
7/03/1994,130.75
8/03/1994,130.75
9/03/1994,131.25
10/03/1994,131.95
11/03/1994,133.75
14/03/1994,133
15/03/1994,133.25
16/03/1994,133.25
17/03/1994,132.75
18/03/1994,133.25
21/03/1994,133.25
22/03/1994,134.35
23/03/1994,134
24/03/1994,134.85
25/03/1994,134.75
28/03/1994,134.4
29/03/1994,133.75
30/03/1994,133.75
31/03/1994,133.5
1/04/1994,133.5
4/04/1994,133.5
5/04/1994,134.75
6/04/1994,134
7/04/1994,132.75
8/04/1994,133.25
11/04/1994,133.25
12/04/1994,132.75
13/04/1994,132
14/04/1994,132.75
15/04/1994,132
18/04/1994,132.25
19/04/1994,131.25
20/04/1994,132.75
21/04/1994,134
22/04/1994,133
25/04/1994,134.25
26/04/1994,135.25
27/04/1994,135.25
28/04/1994,134.75
29/04/1994,136.75
2/05/1994,136.75
3/05/1994,139.9
4/05/1994,139.4
5/05/1994,136.75
6/05/1994,136
9/05/1994,137.5
10/05/1994,135.75
11/05/1994,134.5
12/05/1994,135.5
13/05/1994,135.75
16/05/1994,135.1
17/05/1994,135.25
18/05/1994,134.75
19/05/1994,135.1
20/05/1994,135.5
23/05/1994,136.65
24/05/1994,137.5
25/05/1994,136.65
26/05/1994,134
27/05/1994,134.25
30/05/1994,134.25
31/05/1994,134.5
1/06/1994,135.75
2/06/1994,134.25
3/06/1994,134.35
6/06/1994,133.85
7/06/1994,134.15
8/06/1994,135.25
9/06/1994,135.5
10/06/1994,136.25
13/06/1994,137
14/06/1994,137.75
15/06/1994,137.5
16/06/1994,137.5
17/06/1994,138.4
20/06/1994,138.75
21/06/1994,139.25
22/06/1994,138.5
23/06/1994,138.25
24/06/1994,138.25
27/06/1994,138.5
28/06/1994,138.5
29/06/1994,139.15
30/06/1994,141.25
1/07/1994,142.85
4/07/1994,143.75
5/07/1994,143.75
6/07/1994,143.65
7/07/1994,143
8/07/1994,143.75
11/07/1994,145.35
12/07/1994,144.65
13/07/1994,145.75
14/07/1994,145.9
15/07/1994,146.25
18/07/1994,147.3
19/07/1994,145.75
20/07/1994,145.75
21/07/1994,145.65
22/07/1994,145.4
25/07/1994,147.5
26/07/1994,151
27/07/1994,152.2
28/07/1994,150.75
29/07/1994,150
1/08/1994,152.25
2/08/1994,153.5
3/08/1994,153.75
4/08/1994,150
5/08/1994,149.25
8/08/1994,149.75
9/08/1994,151.25
10/08/1994,152
11/08/1994,151
12/08/1994,153
15/08/1994,152
16/08/1994,152.25
17/08/1994,152.6
18/08/1994,153
19/08/1994,154
22/08/1994,154.35
23/08/1994,153.25
24/08/1994,152.25
25/08/1994,151.5
26/08/1994,151.75
29/08/1994,151.75
30/08/1994,151.75
31/08/1994,151.9
1/09/1994,152.5
2/09/1994,153.25
5/09/1994,154.25
6/09/1994,154
7/09/1994,154.25
8/09/1994,153.25
9/09/1994,152.25
12/09/1994,151.75
13/09/1994,148.5
14/09/1994,149.55
15/09/1994,148.75
16/09/1994,149.75
19/09/1994,152.25
20/09/1994,153
21/09/1994,156.25
22/09/1994,155.5
23/09/1994,156.25
26/09/1994,155.5
27/09/1994,155
28/09/1994,154
29/09/1994,151.85
30/09/1994,152
3/10/1994,151.5
4/10/1994,152.5
5/10/1994,152.75
6/10/1994,153.6
7/10/1994,153.5
10/10/1994,153.25
11/10/1994,150.25
12/10/1994,152.4
13/10/1994,151.5
14/10/1994,152.75
17/10/1994,153.5
18/10/1994,154.75
19/10/1994,154.75
20/10/1994,156.25
21/10/1994,156.35
24/10/1994,155.6
25/10/1994,156.35
26/10/1994,157
27/10/1994,159.25
28/10/1994,159.75
31/10/1994,158.9
1/11/1994,158.85
2/11/1994,160
3/11/1994,161.25
4/11/1994,160
7/11/1994,158
8/11/1994,157
9/11/1994,157.25
10/11/1994,155.75
11/11/1994,156.25
14/11/1994,156.4
15/11/1994,158
16/11/1994,156.5
17/11/1994,156.4
18/11/1994,156.25
21/11/1994,153.75
22/11/1994,154.6
23/11/1994,155
24/11/1994,153.75
25/11/1994,154.15
28/11/1994,154
29/11/1994,153.9
30/11/1994,154.6
1/12/1994,152
2/12/1994,156
5/12/1994,152
6/12/1994,153.25
7/12/1994,153.3
8/12/1994,153
9/12/1994,152
12/12/1994,153.5
13/12/1994,153.5
14/12/1994,152.25
15/12/1994,152
16/12/1994,152.75
19/12/1994,152.75
20/12/1994,153.85
21/12/1994,153.75
22/12/1994,154
23/12/1994,154
26/12/1994,154
27/12/1994,154
28/12/1994,156.1
29/12/1994,157.25
30/12/1994,156.75
2/01/1995,156.75
3/01/1995,156.75
4/01/1995,155.25
5/01/1995,154.55
6/01/1995,154.75
9/01/1995,153.75
10/01/1995,154.9
11/01/1995,155.75
12/01/1995,156.25
13/01/1995,155.5
16/01/1995,153.25
17/01/1995,154.75
18/01/1995,157
19/01/1995,156.25
20/01/1995,156.25
23/01/1995,157.75
24/01/1995,157.5
25/01/1995,157.75
26/01/1995,158.5
27/01/1995,157.9
30/01/1995,156.75
31/01/1995,157
1/02/1995,157.5
2/02/1995,157.25
3/02/1995,157
6/02/1995,157.5
7/02/1995,156.75
8/02/1995,156
9/02/1995,157.25
10/02/1995,156.85
13/02/1995,157
14/02/1995,157
