Date,Price
2/08/1993,416.5
3/08/1993,417.04
4/08/1993,419
5/08/1993,401.75
6/08/1993,387.75
9/08/1993,393.25
10/08/1993,393
11/08/1993,392.25
12/08/1993,389.6
13/08/1993,385
16/08/1993,387.75
17/08/1993,387.25
18/08/1993,388
19/08/1993,393.5
20/08/1993,385.6
23/08/1993,387.85
24/08/1993,387.5
25/08/1993,386.5
26/08/1993,383.75
27/08/1993,377.5
30/08/1993,377.5
31/08/1993,384
1/09/1993,380.5
2/09/1993,379.75
3/09/1993,371
6/09/1993,373
7/09/1993,366.75
8/09/1993,357.25
9/09/1993,357.65
10/09/1993,358.25
13/09/1993,352.75
14/09/1993,351.75
15/09/1993,353.75
16/09/1993,360.9
17/09/1993,360.25
20/09/1993,361.5
21/09/1993,360.25
22/09/1993,361
23/09/1993,362
24/09/1993,362.75
27/09/1993,362.6
28/09/1993,360.5
29/09/1993,360.75
30/09/1993,359.25
1/10/1993,361.1
4/10/1993,356.75
5/10/1993,356
6/10/1993,359.6
7/10/1993,363.35
8/10/1993,361.75
11/10/1993,363.4
12/10/1993,363
13/10/1993,370.1
14/10/1993,371.5
15/10/1993,366.75
18/10/1993,366.95
19/10/1993,373.25
20/10/1993,375.1
21/10/1993,375.85
22/10/1993,371.75
25/10/1993,376.35
26/10/1993,371
27/10/1993,374.25
28/10/1993,373.75
29/10/1993,374.5
1/11/1993,369.35
2/11/1993,366.75
3/11/1993,368.65
4/11/1993,375
5/11/1993,380.25
8/11/1993,377.25
9/11/1993,378.1
10/11/1993,375.75
11/11/1993,377.75
12/11/1993,377.75
15/11/1993,374.05
16/11/1993,376.75
17/11/1993,374.25
18/11/1993,379
19/11/1993,376.75
22/11/1993,377.75
23/11/1993,375.8
24/11/1993,372.75
25/11/1993,373.25
26/11/1993,374.75
29/11/1993,368.75
30/11/1993,366.65
1/12/1993,366.75
2/12/1993,374
3/12/1993,371.05
6/12/1993,374.25
7/12/1993,376.9
8/12/1993,380.2
9/12/1993,380.75
10/12/1993,379.5
13/12/1993,384.5
14/12/1993,387
15/12/1993,384.6
16/12/1993,388.75
17/12/1993,386.75
20/12/1993,389.5
21/12/1993,388.75
22/12/1993,384.15
23/12/1993,385.25
24/12/1993,385.35
27/12/1993,385.35
28/12/1993,385.35
29/12/1993,387.25
30/12/1993,393.5
31/12/1993,393.5
3/01/1994,393.5
4/01/1994,398
5/01/1994,397.25
6/01/1994,389.5
7/01/1994,389.75
10/01/1994,383.25
11/01/1994,385.25
12/01/1994,386.25
13/01/1994,385.75
14/01/1994,389.5
17/01/1994,392.65
18/01/1994,394
19/01/1994,393.25
20/01/1994,391.5
21/01/1994,382.5
24/01/1994,378.5
25/01/1994,381
26/01/1994,380
27/01/1994,386.75
28/01/1994,380.8
31/01/1994,384.85
1/02/1994,387
2/02/1994,391.5
3/02/1994,392.25
4/02/1994,397
7/02/1994,391.5
8/02/1994,389.35
9/02/1994,389.5
10/02/1994,392
11/02/1994,390
14/02/1994,393.75
15/02/1994,400.5
16/02/1994,400.75
17/02/1994,404.5
18/02/1994,399
21/02/1994,398.25
22/02/1994,395.85
23/02/1994,392
24/02/1994,389.5
25/02/1994,391.6
28/02/1994,394.65
1/03/1994,392.75
2/03/1994,386.5
3/03/1994,392
4/03/1994,391.5
7/03/1994,391.85
8/03/1994,391.6
9/03/1994,391.75
10/03/1994,395.75
11/03/1994,403.75
14/03/1994,403
15/03/1994,403.65
16/03/1994,401.25
17/03/1994,398.85
18/03/1994,400.4
21/03/1994,399.5
22/03/1994,402.15
23/03/1994,400.75
24/03/1994,404.75
25/03/1994,408.75
28/03/1994,412
29/03/1994,406.5
30/03/1994,409.5
31/03/1994,418
1/04/1994,418
4/04/1994,418
5/04/1994,408
6/04/1994,404.75
7/04/1994,406.5
8/04/1994,406.25
11/04/1994,404
12/04/1994,395.5
13/04/1994,398.5
14/04/1994,400.5
15/04/1994,391.25
18/04/1994,395.25
19/04/1994,386.25
20/04/1994,385.5
21/04/1994,389.25
22/04/1994,388.6
25/04/1994,390
26/04/1994,394.6
27/04/1994,392.5
28/04/1994,389
29/04/1994,393.75
2/05/1994,393.75
3/05/1994,400.5
4/05/1994,394.5
5/05/1994,390.5
6/05/1994,389.5
9/05/1994,397.15
10/05/1994,395.5
11/05/1994,393.5
12/05/1994,396.75
13/05/1994,399.4
16/05/1994,398.15
17/05/1994,400
18/05/1994,396.25
19/05/1994,399
20/05/1994,399.5
23/05/1994,406.1
24/05/1994,407.5
25/05/1994,405.1
26/05/1994,400
27/05/1994,397.25
30/05/1994,397.25
31/05/1994,399
1/06/1994,401.9
2/06/1994,396.25
3/06/1994,398
6/06/1994,395.25
7/06/1994,396.55
8/06/1994,398
9/06/1994,398.25
10/06/1994,399.6
13/06/1994,399
14/06/1994,402
15/06/1994,401.75
16/06/1994,401.75
17/06/1994,405.75
20/06/1994,408.25
21/06/1994,405.85
22/06/1994,408.5
23/06/1994,405.1
24/06/1994,404
27/06/1994,400.75
28/06/1994,397.75
29/06/1994,399.5
30/06/1994,400.25
1/07/1994,406.62
4/07/1994,410
5/07/1994,412.25
6/07/1994,407.35
7/07/1994,402.25
8/07/1994,401
11/07/1994,402.5
12/07/1994,403.5
13/07/1994,408.25
14/07/1994,408.25
15/07/1994,410.25
18/07/1994,416.75
19/07/1994,414.5
20/07/1994,416.5
21/07/1994,411.75
22/07/1994,411.5
25/07/1994,416.75
26/07/1994,421.75
27/07/1994,427.5
28/07/1994,422.25
29/07/1994,419.5
1/08/1994,424.25
2/08/1994,419.75
3/08/1994,414.9
4/08/1994,404.25
5/08/1994,409.85
8/08/1994,407.6
9/08/1994,407.75
10/08/1994,412
11/08/1994,409.75
12/08/1994,413
15/08/1994,409.75
16/08/1994,410.4
17/08/1994,411.75
18/08/1994,411.25
19/08/1994,413
22/08/1994,414.5
23/08/1994,411.75
24/08/1994,410.75
25/08/1994,411.65
26/08/1994,413.75
29/08/1994,413.75
30/08/1994,411.75
31/08/1994,413.15
1/09/1994,413
2/09/1994,416
5/09/1994,416.9
6/09/1994,420.25
7/09/1994,421.5
8/09/1994,419.25
9/09/1994,418.3
12/09/1994,419.5
13/09/1994,415.25
14/09/1994,417.5
15/09/1994,409.65
16/09/1994,409.25
19/09/1994,413
20/09/1994,416.75
21/09/1994,419.65
22/09/1994,418.25
23/09/1994,421
26/09/1994,419.75
27/09/1994,418
28/09/1994,420.5
29/09/1994,417.75
30/09/1994,419.25
