Date,Cts/Troy Ounce,U$/Troy Ounce
2/08/1993,535,5.35
3/08/1993,535,5.35
4/08/1993,532,5.32
5/08/1993,505.5,5.055
6/08/1993,460,4.6
9/08/1993,457,4.57
10/08/1993,465.5,4.655
11/08/1993,465,4.65
12/08/1993,458,4.58
13/08/1993,457,4.57
16/08/1993,475.5,4.755
17/08/1993,471,4.71
18/08/1993,469,4.69
19/08/1993,470,4.7
20/08/1993,476.5,4.765
23/08/1993,480,4.8
24/08/1993,476,4.76
25/08/1993,469,4.69
26/08/1993,466.5,4.665
27/08/1993,467.5,4.675
30/08/1993,483.5,4.835
31/08/1993,483.5,4.835
1/09/1993,480,4.8
2/09/1993,448,4.48
3/09/1993,458,4.58
6/09/1993,458,4.58
7/09/1993,433.5,4.335
8/09/1993,427,4.27
9/09/1993,427,4.27
10/09/1993,409,4.09
13/09/1993,409,4.09
14/09/1993,409,4.09
15/09/1993,400.5,4.005
16/09/1993,400.5,4.005
17/09/1993,405.5,4.055
20/09/1993,408.5,4.085
21/09/1993,409,4.09
22/09/1993,406.5,4.065
23/09/1993,413,4.13
24/09/1993,410,4.1
27/09/1993,404.5,4.045
28/09/1993,407.5,4.075
29/09/1993,407.5,4.075
30/09/1993,407.5,4.075
1/10/1993,406,4.06
4/10/1993,404,4.04
5/10/1993,404,4.04
6/10/1993,419,4.19
7/10/1993,432,4.32
8/10/1993,435.5,4.355
11/10/1993,431,4.31
12/10/1993,434.5,4.345
13/10/1993,441,4.41
14/10/1993,440,4.4
15/10/1993,432,4.32
18/10/1993,441.5,4.415
19/10/1993,436,4.36
20/10/1993,449.5,4.495
21/10/1993,449.5,4.495
22/10/1993,442.5,4.425
25/10/1993,443,4.43
26/10/1993,438.5,4.385
27/10/1993,445,4.45
28/10/1993,437.5,4.375
29/10/1993,437.5,4.375
1/11/1993,420,4.2
2/11/1993,417.5,4.175
3/11/1993,424,4.24
4/11/1993,441,4.41
5/11/1993,448.5,4.485
8/11/1993,449,4.49
9/11/1993,452,4.52
10/11/1993,452,4.52
11/11/1993,455.5,4.555
12/11/1993,453,4.53
15/11/1993,452,4.52
16/11/1993,456.5,4.565
17/11/1993,452,4.52
18/11/1993,466.5,4.665
19/11/1993,470,4.7
22/11/1993,469.5,4.695
23/11/1993,464.5,4.645
24/11/1993,465,4.65
25/11/1993,465,4.65
26/11/1993,465,4.65
29/11/1993,449.5,4.495
30/11/1993,442.5,4.425
1/12/1993,455.5,4.555
2/12/1993,464,4.64
3/12/1993,480.5,4.805
6/12/1993,482.5,4.825
7/12/1993,483.5,4.835
8/12/1993,500.5,5.005
9/12/1993,498.5,4.985
10/12/1993,497.5,4.975
13/12/1993,512.5,5.125
14/12/1993,508,5.08
15/12/1993,506.5,5.065
16/12/1993,501.5,5.015
17/12/1993,495.5,4.955
20/12/1993,509.5,5.095
21/12/1993,509,5.09
22/12/1993,499.5,4.995
23/12/1993,499.5,4.995
24/12/1993,499.5,4.995
27/12/1993,508,5.08
28/12/1993,504,5.04
29/12/1993,510,5.1
30/12/1993,508,5.08
31/12/1993,508,5.08
3/01/1994,522,5.22
4/01/1994,520,5.2
5/01/1994,520,5.2
6/01/1994,509,5.09
7/01/1994,500,5
10/01/1994,496,4.96
11/01/1994,506,5.06
12/01/1994,508,5.08
13/01/1994,519.5,5.195
14/01/1994,519,5.19
17/01/1994,531,5.31
18/01/1994,525.5,5.255
19/01/1994,525,5.25
20/01/1994,520,5.2
21/01/1994,519,5.19
24/01/1994,507,5.07
25/01/1994,511,5.11
26/01/1994,512,5.12
