Name,WORLD
2/03/1979,122.397
5/03/1979,123.481
6/03/1979,123.523
7/03/1979,124.04
8/03/1979,125.22
9/03/1979,125.471
12/03/1979,125.592
13/03/1979,125.21
14/03/1979,125.111
15/03/1979,125.128
16/03/1979,125.857
19/03/1979,126.067
20/03/1979,125.728
21/03/1979,126.201
22/03/1979,126.611
23/03/1979,127.069
26/03/1979,126.713
27/03/1979,127.807
28/03/1979,127.697
29/03/1979,127.657
30/03/1979,127.068
2/04/1979,125.971
3/04/1979,126.252
4/04/1979,126.351
5/04/1979,127.023
6/04/1979,126.956
9/04/1979,126.751
10/04/1979,127.206
11/04/1979,126.987
12/04/1979,126.639
13/04/1979,126.639
16/04/1979,126.083
17/04/1979,125.721
18/04/1979,125.982
19/04/1979,125.939
20/04/1979,125.818
23/04/1979,126.117
24/04/1979,126.947
25/04/1979,127.151
26/04/1979,126.642
27/04/1979,126.527
30/04/1979,126.522
1/05/1979,126.433
2/05/1979,126.502
3/05/1979,126.825
4/05/1979,126.599
7/05/1979,126.035
8/05/1979,125.914
9/05/1979,125.95
10/05/1979,125.361
11/05/1979,125.137
14/05/1979,124.821
15/05/1979,124.764
16/05/1979,125.111
17/05/1979,125.582
18/05/1979,124.824
21/05/1979,124.489
22/05/1979,124.832
23/05/1979,124.398
24/05/1979,124.356
25/05/1979,124.663
28/05/1979,124.735
29/05/1979,124.577
30/05/1979,123.915
31/05/1979,123.964
1/06/1979,123.66
4/06/1979,123.786
5/06/1979,124.516
6/06/1979,125.142
7/06/1979,125.236
8/06/1979,124.87
11/06/1979,124.833
12/06/1979,125.638
13/06/1979,125.082
14/06/1979,124.776
15/06/1979,125.075
18/06/1979,124.959
19/06/1979,125.142
20/06/1979,125.561
21/06/1979,125.807
22/06/1979,126.648
25/06/1979,126.505
26/06/1979,126.313
27/06/1979,126.923
28/06/1979,127.301
29/06/1979,127.17
2/07/1979,126.764
3/07/1979,126.863
4/07/1979,127.212
5/07/1979,127.49
6/07/1979,128.031
9/07/1979,128.079
10/07/1979,127.79
11/07/1979,127.416
12/07/1979,126.5
13/07/1979,125.829
16/07/1979,126.738
17/07/1979,126.702
18/07/1979,126.953
19/07/1979,126.807
20/07/1979,126.788
23/07/1979,126.696
24/07/1979,127.249
25/07/1979,127.81
26/07/1979,127.917
27/07/1979,128.048
30/07/1979,127.685
31/07/1979,127.746
1/08/1979,128.038
2/08/1979,128.213
3/08/1979,128.286
6/08/1979,128.617
7/08/1979,129.383
8/08/1979,129.73
9/08/1979,129.423
10/08/1979,130.391
13/08/1979,131.25
14/08/1979,131.048
15/08/1979,131.74
16/08/1979,131.739
17/08/1979,131.765
20/08/1979,131.927
21/08/1979,131.916
22/08/1979,131.798
23/08/1979,131.529
24/08/1979,131.606
27/08/1979,131.898
28/08/1979,131.998
29/08/1979,131.886
30/08/1979,132.239
31/08/1979,132.489
3/09/1979,132.335
4/09/1979,131.274
5/09/1979,130.671
6/09/1979,131.211
7/09/1979,131.892
10/09/1979,132.424
11/09/1979,131.943
12/09/1979,131.96
13/09/1979,131.858
14/09/1979,132.24
17/09/1979,132.071
18/09/1979,131.704
19/09/1979,131.725
20/09/1979,133.614
21/09/1979,134.018
24/09/1979,133.481
25/09/1979,133.822
26/09/1979,134.33
27/09/1979,135.419
28/09/1979,135.076
1/10/1979,134.634
2/10/1979,135.141
3/10/1979,135.286
4/10/1979,135.794
5/10/1979,136.426
8/10/1979,135.095
9/10/1979,132.491
10/10/1979,131.186
11/10/1979,130.283
12/10/1979,129.667
15/10/1979,128.665
16/10/1979,127.989
17/10/1979,127.925
18/10/1979,128.056
19/10/1979,126.999
22/10/1979,125.614
23/10/1979,124.502
24/10/1979,123.995
25/10/1979,123.599
26/10/1979,123.581
29/10/1979,123.864
30/10/1979,124.893
31/10/1979,124.639
1/11/1979,125.035
2/11/1979,125.314
5/11/1979,124.4
6/11/1979,123.764
7/11/1979,122.29
8/11/1979,122.46
9/11/1979,123.306
12/11/1979,124.141
13/11/1979,124.181
14/11/1979,124.553
15/11/1979,124.646
16/11/1979,124.652
19/11/1979,125.419
20/11/1979,124.875
21/11/1979,124.96
22/11/1979,125.032
23/11/1979,125.29
26/11/1979,126.787
27/11/1979,127.553
28/11/1979,127.764
29/11/1979,128.253
30/11/1979,128.077
3/12/1979,128.255
4/12/1979,128.945
5/12/1979,128.914
6/12/1979,129.475
7/12/1979,129.119
10/12/1979,129.631
11/12/1979,130.029
12/12/1979,130.305
13/12/1979,129.827
14/12/1979,130.447
17/12/1979,130.995
18/12/1979,130.476
19/12/1979,130.447
20/12/1979,130.631
21/12/1979,130.222
24/12/1979,130.224
25/12/1979,130.224
26/12/1979,130.392
27/12/1979,130.798
28/12/1979,131.03
31/12/1979,131.101
1/01/1980,131.101
2/01/1980,129.827
3/01/1980,129.449
4/01/1980,130.103
7/01/1980,130.944
8/01/1980,132.38
9/01/1980,132.734
10/01/1980,133.45
11/01/1980,133.815
14/01/1980,134.55
15/01/1980,135.287
16/01/1980,135.246
17/01/1980,135.101
18/01/1980,135.336
21/01/1980,136.157
22/01/1980,135.481
23/01/1980,136.815
24/01/1980,137.348
25/01/1980,137.543
28/01/1980,138.202
29/01/1980,138.29
30/01/1980,139.295
31/01/1980,138.591
1/02/1980,138.981
4/02/1980,138.595
5/02/1980,138.737
6/02/1980,139.793
7/02/1980,140.803
8/02/1980,142.068
11/02/1980,142.311
12/02/1980,142.618
13/02/1980,143.317
14/02/1980,142.122
15/02/1980,140.73
18/02/1980,140.629
19/02/1980,139.781
20/02/1980,140.618
21/02/1980,140.015
22/02/1980,139.505
25/02/1980,137.895
26/02/1980,138.066
27/02/1980,137.317
28/02/1980,137.614
29/02/1980,138.248
3/03/1980,137.346
4/03/1980,136.911
5/03/1980,135.569
6/03/1980,133.63
7/03/1980,131.286
10/03/1980,129.835
11/03/1980,130.448
12/03/1980,130.259
13/03/1980,129.015
14/03/1980,127.672
17/03/1980,124.413
18/03/1980,125.355
19/03/1980,126.115
20/03/1980,125.827
21/03/1980,124.644
24/03/1980,122.495
25/03/1980,122.283
26/03/1980,122.137
27/03/1980,120.451
28/03/1980,122.016
31/03/1980,122.959
1/04/1980,122.365
2/04/1980,122.77
3/04/1980,122.662
4/04/1980,122.662
7/04/1980,121.655
8/04/1980,121.539
9/04/1980,124.518
10/04/1980,126.109
11/04/1980,126.003
14/04/1980,125.794
15/04/1980,125.121
16/04/1980,124.355
17/04/1980,124.994
18/04/1980,124.906
21/04/1980,124.307
22/04/1980,126.413
23/04/1980,127.36
24/04/1980,128.385
25/04/1980,128.918
28/04/1980,129.881
29/04/1980,130.324
30/04/1980,130.581
1/05/1980,130.302
2/05/1980,130.312
5/05/1980,130.79
6/05/1980,131.691
7/05/1980,132.354
8/05/1980,131.492
9/05/1980,130.498
12/05/1980,130.914
13/05/1980,132.529
14/05/1980,133.282
15/05/1980,133.366
16/05/1980,132.938
19/05/1980,132.652
20/05/1980,132.796
21/05/1980,133.887
22/05/1980,135.041
23/05/1980,136.517
26/05/1980,136.683
27/05/1980,137.79
28/05/1980,137.881
29/05/1980,136.295
30/05/1980,136.573
2/06/1980,136.921
3/06/1980,136.436
4/06/1980,137.939
5/06/1980,138.756
6/06/1980,139.084
9/06/1980,140.279
10/06/1980,141.006
11/06/1980,141.972
12/06/1980,141.904
13/06/1980,142.796
16/06/1980,143.272
17/06/1980,142.852
18/06/1980,143.352
19/06/1980,141.898
20/06/1980,141.932
23/06/1980,142.395
24/06/1980,142.668
25/06/1980,143.609
26/06/1980,143.509
27/06/1980,143.613
30/06/1980,142.683
1/07/1980,142.29
2/07/1980,143.155
3/07/1980,144.719
4/07/1980,145.063
7/07/1980,145.863
8/07/1980,145.963
9/07/1980,145.906
10/07/1980,145.174
11/07/1980,145.495
14/07/1980,146.619
15/07/1980,146.143
16/07/1980,146.53
17/07/1980,147.952
18/07/1980,148.268
21/07/1980,148.63
22/07/1980,148.408
23/07/1980,147.963
24/07/1980,148.002
25/07/1980,148.063
28/07/1980,147.247
29/07/1980,147.77
30/07/1980,147.587
31/07/1980,146.628
1/08/1980,145.995
4/08/1980,145.923
5/08/1980,145.855
6/08/1980,146.329
7/08/1980,147.636
8/08/1980,148.009
11/08/1980,149.16
12/08/1980,148.868
13/08/1980,148.692
14/08/1980,150.114
15/08/1980,150.684
18/08/1980,148.828
